trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1939,False,"{'a': 0.01, 'e': 0.143991645276859}",25,1,12.495521085385686,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
1940,False,"{'a': 0.01, 'e': 0.14384772560341216}",25,4,31.861262070019855,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1941,False,"{'a': 0.01, 'e': 0.14370394977770293}",25,20,6.224869539284429,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1942,False,"{'a': 0.01, 'e': 0.14356031765595542}",30,12,-9.761271680653065,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
1943,False,"{'a': 0.01, 'e': 0.14341682909453757}",20,11,18.055432154707347,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1944,False,"{'a': 0.01, 'e': 0.14327348394996073}",25,16,16.785764227666405,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1945,False,"{'a': 0.01, 'e': 0.14313028207887982}",20,13,10.07893482442199,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1946,False,"{'a': 0.01, 'e': 0.14298722333809288}",25,17,12.4268127975537,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1947,False,"{'a': 0.01, 'e': 0.14284430758454122}",25,12,-43.04572089451274,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
1948,False,"{'a': 0.01, 'e': 0.14270153467530902}",35,18,-22.030414493073412,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
1949,False,"{'a': 0.01, 'e': 0.14255890446762343}",20,3,-14.653024317130704,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1950,False,"{'a': 0.01, 'e': 0.14241641681885414}",30,18,20.375605142254514,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1951,False,"{'a': 0.01, 'e': 0.1422740715865136}",20,1,-20.124815127277706,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
1952,False,"{'a': 0.01, 'e': 0.1421318686282564}",35,11,15.647588035729015,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
1953,False,"{'a': 0.01, 'e': 0.14198980780187978}",20,0,21.454192054810907,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1954,False,"{'a': 0.01, 'e': 0.14184788896532272}",20,8,-19.961524137610255,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1955,False,"{'a': 0.01, 'e': 0.1417061119766665}",20,14,12.592076350076294,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1956,False,"{'a': 0.01, 'e': 0.14156447669413402}",20,15,8.38751541024568,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1957,False,"{'a': 0.01, 'e': 0.14142298297609007}",20,12,4.100993829507076,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1958,False,"{'a': 0.01, 'e': 0.14128163068104085}",25,17,15.873185703880846,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1959,False,"{'a': 0.01, 'e': 0.1411404196676341}",20,5,-18.62353217919089,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
1960,False,"{'a': 0.01, 'e': 0.14099934979465875}",35,16,27.067953324328887,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
1961,False,"{'a': 0.01, 'e': 0.140858420921045}",35,5,16.237550707394444,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
1962,False,"{'a': 0.01, 'e': 0.14071763290586387}",25,9,-0.29658038871995296,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
1963,False,"{'a': 0.01, 'e': 0.1405769856083274}",30,13,18.799373837714526,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1964,False,"{'a': 0.01, 'e': 0.1404364788877882}",25,11,22.550660091479166,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1965,False,"{'a': 0.01, 'e': 0.14029611260373964}",20,12,11.651479760494222,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1966,False,"{'a': 0.01, 'e': 0.14015588661581535}",30,20,18.421510201772428,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1967,False,"{'a': 0.01, 'e': 0.1400158007837894}",25,17,17.28631500385201,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1968,False,"{'a': 0.01, 'e': 0.13987585496757585}",20,12,17.145421590561195,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1969,False,"{'a': 0.01, 'e': 0.13973604902722894}",20,6,6.965021817707308,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1970,False,"{'a': 0.01, 'e': 0.1395963828229427}",25,15,18.05250850882768,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1971,False,"{'a': 0.01, 'e': 0.13945685621505094}",20,10,-36.59619902066898,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
1972,False,"{'a': 0.01, 'e': 0.13931746906402698}",25,11,25.42316146338826,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1973,False,"{'a': 0.01, 'e': 0.13917822123048373}",25,19,10.358692328885272,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1974,False,"{'a': 0.01, 'e': 0.13903911257517326}",25,11,12.071928462748183,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1975,False,"{'a': 0.01, 'e': 0.138900142958987}",20,15,10.212004712003758,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1976,False,"{'a': 0.01, 'e': 0.13876131224295524}",25,11,25.202937714536617,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1977,False,"{'a': 0.01, 'e': 0.13862262028824732}",20,3,16.354074759180186,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1978,False,"{'a': 0.01, 'e': 0.13848406695617121}",25,0,-4.185764397660305,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
1979,False,"{'a': 0.01, 'e': 0.13834565210817362}",20,9,20.89124294913349,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1980,False,"{'a': 0.01, 'e': 0.13820737560583965}",25,20,8.751486429696305,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1981,False,"{'a': 0.01, 'e': 0.13806923731089282}",25,8,10.658502934467379,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
1982,False,"{'a': 0.01, 'e': 0.13793123708519478}",20,0,-64.99378791436439,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
1983,False,"{'a': 0.01, 'e': 0.13779337479074535}",25,4,-15.511443969909648,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
1984,False,"{'a': 0.01, 'e': 0.13765565028968216}",25,4,3.8828132198020726,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
1985,False,"{'a': 0.01, 'e': 0.13751806344428075}",25,9,12.564826391553941,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1986,False,"{'a': 0.01, 'e': 0.13738061411695424}",20,13,5.938453754886219,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1987,False,"{'a': 0.01, 'e': 0.13724330217025332}",35,6,38.946700724190435,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
1988,False,"{'a': 0.01, 'e': 0.13710612746686596}",25,15,16.060720812893326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1989,False,"{'a': 0.01, 'e': 0.13696908986961753}",25,15,20.322690481903237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1990,False,"{'a': 0.01, 'e': 0.13683218924147036}",20,14,12.881993883633347,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1991,False,"{'a': 0.01, 'e': 0.13669542544552385}",20,10,14.699963396143625,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1992,False,"{'a': 0.01, 'e': 0.13655879834501417}",20,0,15.62036364738721,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1993,False,"{'a': 0.01, 'e': 0.13642230780331424}",30,13,17.564885143703737,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1994,False,"{'a': 0.01, 'e': 0.13628595368393343}",25,17,8.205840512148797,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1995,False,"{'a': 0.01, 'e': 0.1361497358505177}",20,15,9.963455537909,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1996,False,"{'a': 0.01, 'e': 0.13601365416684916}",20,6,14.178198512116351,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1997,False,"{'a': 0.01, 'e': 0.13587770849684613}",25,15,19.831420442825085,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1998,False,"{'a': 0.01, 'e': 0.13574189870456288}",20,12,-7.804253953034369,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
1999,False,"{'a': 0.01, 'e': 0.1356062246541897}",30,20,18.35737701121365,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2000,False,"{'a': 0.01, 'e': 0.13547068621005243}",20,7,12.4818964594953,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
