trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2719,False,"{'a': 0.01, 'e': 0.06600663577264156}",20,14,9.76082147384643,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2720,False,"{'a': 0.01, 'e': 0.06594066212918846}",25,14,19.755287939515622,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2721,False,"{'a': 0.01, 'e': 0.06587475442640295}",25,15,19.374283130200133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2722,False,"{'a': 0.01, 'e': 0.06580891259837739}",25,0,22.790439850085832,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2723,False,"{'a': 0.01, 'e': 0.0657431365792699}",25,13,26.350409721974444,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2724,False,"{'a': 0.01, 'e': 0.06567742630330448}",30,14,21.85623990330365,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2725,False,"{'a': 0.01, 'e': 0.0656117817047708}",25,13,23.197026555206065,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2726,False,"{'a': 0.01, 'e': 0.06554620271802433}",35,13,36.8532580326924,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2727,False,"{'a': 0.01, 'e': 0.06548068927748603}",25,14,7.013554196803959,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2728,False,"{'a': 0.01, 'e': 0.06541524131764247}",25,7,18.50948175947818,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
2729,False,"{'a': 0.01, 'e': 0.06534985877304565}",30,12,30.638121765510824,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2730,False,"{'a': 0.01, 'e': 0.06528454157831308}",30,16,23.74253923782196,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2731,False,"{'a': 0.01, 'e': 0.06521928966812753}",20,8,22.068310584017407,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2732,False,"{'a': 0.01, 'e': 0.06515410297723707}",30,20,18.459352208694987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2733,False,"{'a': 0.01, 'e': 0.065088981440455}",30,21,15.535328507487238,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2734,False,"{'a': 0.01, 'e': 0.06502392499265983}",25,7,31.80525710849028,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2735,False,"{'a': 0.01, 'e': 0.06495893356879505}",20,0,15.311619769928463,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2736,False,"{'a': 0.01, 'e': 0.06489400710386926}",20,10,16.450619671606518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2737,False,"{'a': 0.01, 'e': 0.06482914553295596}",25,12,20.758879215201873,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2738,False,"{'a': 0.01, 'e': 0.06476434879119362}",20,16,6.9424144793571285,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2739,False,"{'a': 0.01, 'e': 0.06469961681378547}",20,11,18.246168714990965,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2740,False,"{'a': 0.01, 'e': 0.06463494953599953}",20,0,30.15925956685427,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2741,False,"{'a': 0.01, 'e': 0.06457034689316847}",25,20,9.282105666378907,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2742,False,"{'a': 0.01, 'e': 0.06450580882068972}",20,6,29.769220192860356,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2743,False,"{'a': 0.01, 'e': 0.06444133525402518}",30,20,17.008649321645485,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2744,False,"{'a': 0.01, 'e': 0.06437692612870125}",20,0,35.83633687905271,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2745,False,"{'a': 0.01, 'e': 0.06431258138030878}",25,16,6.1226367427674235,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
2746,False,"{'a': 0.01, 'e': 0.06424830094450308}",20,7,28.064196157291462,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2747,False,"{'a': 0.01, 'e': 0.06418408475700368}",30,0,42.48790314620258,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2748,False,"{'a': 0.01, 'e': 0.0641199327535944}",25,8,28.36428377648515,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2749,False,"{'a': 0.01, 'e': 0.06405584487012317}",25,15,-3.0677500509254605,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
2750,False,"{'a': 0.01, 'e': 0.06399182104250219}",30,17,28.828198769142332,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2751,False,"{'a': 0.01, 'e': 0.06392786120670757}",20,0,10.672488715099716,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
2752,False,"{'a': 0.01, 'e': 0.0638639652987795}",25,1,40.55344896640087,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2753,False,"{'a': 0.01, 'e': 0.063800133254822}",20,16,9.392693720535885,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2754,False,"{'a': 0.01, 'e': 0.06373636501100312}",35,18,31.303103754309657,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2755,False,"{'a': 0.01, 'e': 0.06367266050355457}",25,0,35.44376892297374,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
