trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1782,False,"{'a': 0.01, 'e': 0.1684695934123012}",25,9,34.55237360511986,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1783,False,"{'a': 0.01, 'e': 0.16830120802561438}",20,6,16.726858574104096,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1784,False,"{'a': 0.01, 'e': 0.16813299094014955}",25,10,12.118681474414563,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1785,False,"{'a': 0.01, 'e': 0.16796494198768974}",35,23,22.335223585294354,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1786,False,"{'a': 0.01, 'e': 0.16779706100018585}",30,21,-5.897925787379936,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
1787,False,"{'a': 0.01, 'e': 0.167629347809757}",20,15,-33.38749951796099,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
1788,False,"{'a': 0.01, 'e': 0.1674618022486899}",20,0,6.034802296589632,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
1789,False,"{'a': 0.01, 'e': 0.167294424149439}",20,12,13.61459365304596,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1790,False,"{'a': 0.01, 'e': 0.1671272133446262}",35,18,13.816435180249455,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
1791,False,"{'a': 0.01, 'e': 0.1669601696670407}",30,18,-21.228427074546982,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1792,False,"{'a': 0.01, 'e': 0.16679329294963874}",20,10,3.2568446748859987,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1793,False,"{'a': 0.01, 'e': 0.16662658302554365}",30,12,38.082517329762524,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1794,False,"{'a': 0.01, 'e': 0.1664600397280455}",25,16,13.603013284826783,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1795,False,"{'a': 0.01, 'e': 0.16629366289060088}",25,0,-12.687958587682763,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
1796,False,"{'a': 0.01, 'e': 0.16612745234683307}",35,26,17.83628978941503,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1797,False,"{'a': 0.01, 'e': 0.16596140793053138}",25,6,36.11988386279131,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1798,False,"{'a': 0.01, 'e': 0.16579552947565152}",25,0,11.766625567647047,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
1799,False,"{'a': 0.01, 'e': 0.16562981681631492}",20,12,2.8005352494766074,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1800,False,"{'a': 0.01, 'e': 0.16546426978680895}",25,14,17.624728109421284,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1801,False,"{'a': 0.01, 'e': 0.16529888822158653}",25,12,-0.46635696738020305,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
1802,False,"{'a': 0.01, 'e': 0.16513367195526615}",20,8,-0.043536671119323245,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1803,False,"{'a': 0.01, 'e': 0.16496862082263145}",20,15,8.919624467407989,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1804,False,"{'a': 0.01, 'e': 0.16480373465863135}",30,12,31.02166817429399,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1805,False,"{'a': 0.01, 'e': 0.1646390132983796}",20,14,1.837372947433135,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1806,False,"{'a': 0.01, 'e': 0.1644744565771549}",30,0,-7.6684119711312455,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
1807,False,"{'a': 0.01, 'e': 0.16431006433040046}",20,0,-30.203977693760553,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1808,False,"{'a': 0.01, 'e': 0.16414583639372407}",20,0,-62.98284854172511,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
1809,False,"{'a': 0.01, 'e': 0.16398177260289773}",20,9,17.356270478930767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1810,False,"{'a': 0.01, 'e': 0.16381787279385768}",25,17,15.16475660332526,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1811,False,"{'a': 0.01, 'e': 0.16365413680270405}",20,10,9.642475377727536,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1812,False,"{'a': 0.01, 'e': 0.1634905644657009}",35,20,9.954564903128606,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1813,False,"{'a': 0.01, 'e': 0.1633271556192758}",30,23,-26.584363437723724,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
1814,False,"{'a': 0.01, 'e': 0.16316391010001996}",20,5,-11.154373738873113,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
